"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significance"
213.755787422849,-1.97533043270394,0.310983115990049,-6.35188964010236,2.12685893193936e-10,2.46439144443813e-06,"Lcn11","Downregulated"
1086.19005666354,-1.02858598425628,0.22142943546048,-4.64520889969869,3.39732506866572e-06,0.0131216018568766,"Il1a","Downregulated"
190.160152288047,-1.33142149130638,0.283335086449208,-4.69910559963444,2.61303323694718e-06,0.0131216018568766,"Cxcl1","Downregulated"
2079.20526147156,-0.861676649790282,0.190829169030689,-4.51543469044665,6.31870184195643e-06,0.0183036995606873,"Klf2","Not Significant"
6470.04315985777,-1.29202841926361,0.301800537790377,-4.28106731924056,1.8599907622833e-05,0.0431034259251532,"Cxcl2","Downregulated"
96435.4141620994,1.28059455956697,0.308304796113444,4.15366408732661,3.27193391273353e-05,0.0631864970780723,"Gm42418","Not Significant"
122.016901741343,1.41577641126673,0.366999993136829,3.85770146523923,0.000114458326665789,0.189461233010928,"Gm15655","Not Significant"
349.75904894943,-1.0442137766428,0.275321788141942,-3.79270301740325,0.000149016333280957,0.215831531715807,"Mmp12","Not Significant"
1015.7643710063,-0.838920805384094,0.225568247701127,-3.71914404591042,0.000199899034857779,0.233334987971066,"Mgl2","Not Significant"
203.392759355364,-1.17745087834723,0.316750368906794,-3.71728336863816,0.000201376532295733,0.233334987971066,"Gm17056","Not Significant"
233.239120543462,-1.28820251201545,0.351430838758899,-3.66559325460686,0.000246765868054293,0.259934192104099,"Cd209f","Not Significant"
3383.29012921048,-0.949105910439914,0.265626444429101,-3.57308517410525,0.000352799943481302,0.291992353222703,"Pf4","Not Significant"
1273.49198963582,-0.79592172087455,0.221521703967558,-3.59297399134811,0.000326925230483153,0.291992353222703,"Tnfaip3","Not Significant"
8914.45207421347,-0.847384042758202,0.236333458612714,-3.58554411945045,0.000336376126862427,0.291992353222703,"Cd14","Not Significant"
84.0101973183936,-1.41441722068573,0.399374114083584,-3.5415846215554,0.000397731259691739,0.307234140403212,"Vmo1","Not Significant"
158.735709551669,1.18657890969871,0.33948598147203,3.49522211360138,0.000473667400006802,0.343024010242426,"Cfap36","Not Significant"
157.814754314861,-1.04373405663444,0.304021994124346,-3.43308733185781,0.000596749850234577,0.406737677333414,"Mmp13","Not Significant"
801.349991651618,-0.670741833559149,0.196778485391271,-3.40861366132308,0.000652938782529339,0.420311204064858,"Vcam1","Not Significant"
49.37275810271,2.07575996347303,0.623370184462542,3.32989933623904,0.000868773864129632,0.516050419916134,"Rbbp9","Not Significant"
1259.58218313331,-0.799704375393005,0.240661687485368,-3.32294011460227,0.000890740346795778,0.516050419916134,"Ost4","Not Significant"
1088.3316509389,-0.821894219133801,0.250151724714988,-3.28558286004316,0.00101771604040221,0.536012534551838,"Tnip3","Not Significant"
155.206752549975,1.1499115362489,0.34938790329835,3.29121737013019,0.000997547994778456,0.536012534551838,"Gm4070","Not Significant"
1237.39553831649,-0.687632048710403,0.211774952775205,-3.24699422523452,0.00116630756201613,0.545125920883443,"Dusp2","Not Significant"
56.9288807523506,-1.27716506585894,0.393627933570594,-3.24459967633343,0.00117615845534531,0.545125920883443,"Gem","Not Significant"
3971.0644397615,-0.668000664029199,0.205335809344915,-3.25321075831988,0.00114108828681394,0.545125920883443,"Cd83","Not Significant"
31.7407636054505,2.46244724752607,0.782523304510478,3.14680372243546,0.00165065727055014,0.735621761302478,"Ceacam1","Not Significant"
100.233341244771,1.14702091179558,0.366209481744665,3.13214422065489,0.00173534608458439,0.744720558595533,"Ipcef1","Not Significant"
848.297242400972,0.812856279914868,0.262480495897245,3.0968254503492,0.00195605014447783,0.793589421695554,"Tubb4b","Not Significant"
25.400082826863,6.96744646686723,2.26015857520519,3.08272461202626,0.00205114873146711,0.793589421695554,"Reg3g","Not Significant"
9080.48326080807,-0.643467586386958,0.208768159523161,-3.08221132885722,0.00205468910424326,0.793589421695554,"Jund","Not Significant"
